"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9803860531.55248","8949561636.9895","5327344967.03613","4973702540.02406","5354227561.34467","5843688839.16853","6299716421.15014","6621177138.16537","7184486827.46663","7526162157.25132","8150774534.89384","9134510731.77184","10501422441.8107","12207893425.6244","13851841423.6304","16271994101.8439","18988258531.0297","22173115976.0994","24157669801.8107","20884445685.8498","21600412735.6691","23085520248.3701","27009096448.5442","28500152360.1441","29231468082.419","29166842740.5397","31429192104.4042","35676528915.4363","38428345021.3797","42088513415.3132","39528882705.7066","43518226807.9485","",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724220082.807398","765007773.010685","791506006.10086","853048521.552977","929436515.52072","907556623.802006","985210373.34686","1057036090.56434","1119505957.12058","1177374335.44101","1278740621.58239","1248082617.41869","1280557556.94095","1385180000.99635","1504392016.50602","1652012940.45374","1919405308.80158","2154909822.60591","2195924593.66686","1945623929.72819","1814624472.65424","1816047262.12083","1771798543.10742","1720170788.92087","1762288334.80494","1769549897.41954","1882863521.88954","1893259104.10693","2071927908.9808","2211532821.18821","1786243972.36428","1958531523.18315","",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296616498645.94","308281073602.533","319061258640.054","338880455263.218","359153341415.074","378772738801.341","403322795186.309","426003748583.184","453604850604.94","479114846370.33","504664349734.772","532484045726.545","565686237831.933","593718240977.294","632794805868.53","666202328509.402","712163481110.169","762894316238.118","797224342544.283","874317708860.461","867249392135.268","938685763296.035","974067520931.879","1061760472330.27","1100591467474.11","1101523317981.86","1143006683418.89","1190365421747.98","1253149646729.5","1315385706949.21","1361436162530.14","1437172297451.33","",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149511402322.639","159887108683.372","166954293418.038","171812102907.059","179696311406.975","188359159443.568","195478424015.009","202600691782.984","212786033365.773","220639956878.73","235393307583.38","238924409880.486","251984858807.042","261070212121.519","276000127552.037","288086851811.747","311394812110.501","327137554733.552","343812802543","341396429870.941","351323968545.521","373031463577.163","391635006784.26","406370494341.228","417059741085.658","430975998137.236","460282766423.271","476590426691.819","503556884412.526","530634596029.036","508260711687.218","533341482570.592","",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37694530103.6164","38696484278.857","30633636929.6859","24115654422.4934","19778392232.0172","17810336856.036","18372211992.4865","19772991830.6122","21995097661.6114","23955634496.4708","27217678656.4585","30586137071.2623","33994826285.4696","38204531284.4344","42860372196.7017","56564627673.0606","78426917948.493","100683032684.431","113654290594.673","125016200872.444","132906490790.588","135803575412.212","148339507564.977","161864879226.656","166328757240.292","144145726475.687","140229738154.492","139152809949.428","144614343523.119","150881109878.634","146133499194.866","160729472760.502","",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3341667975.18752","3627299688.61041","3747433157.40476","3596877422.10398","3532983821.92221","3321387280.04229","3111624748.90187","3114954587.51486","3299640117.97027","3312343716.22962","3358361145.1884","3504620319.43367","3717503265.93583","3744481925.8038","4030853197.40071","4194668945.05498","4558197311.10758","4842982765.50776","5175835828.04635","5407616902.74818","5753030235.60656","6109378663.94635","6386185330.8931","7069149933.91295","7649427870.69595","8550074537.53225","8358351140.30498","8375481076.5592","8713633406.75831","9030260918.88072","9168995940.52216","9721452801.8507","",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186276825021.355","196106172806.899","203645373545.612","206467391525.6","217681080716.105","227545697974.468","231009658143.338","241623557114.855","248642067943.098","260168701709.78","284881658777.252","296187495658.059","312900377877.018","320979878274.289","334135633402.79","347658412088.972","371888599776.971","390981633066.397","405729462246.522","407566630318.045","434058796459.542","451932718764.387","469720618339.766","487343797679.386","503619406808.679","520878052195.13","550677647305.861","573788797293.568","600322935463.797","640554861298.071","625421414858.454","688480845299.085","",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6263872718.58834","6749352134.0346","7107339440.10568","7700436168.3018","8023775039.5168","8687249860.01219","9228850210.88416","9926367674.35393","10435702280.2009","11148038682.5953","12068417543.7712","12998438893.2101","13813951246.4709","14571665604.7338","15625634673.9068","16391714299.0402","17563887278.8898","19118406973.8386","20439187423.0816","21047276239.8425","21750521094.3437","22860459982.9645","24308499989.2082","26709146743.0221","29146860808.5474","30530995255.4114","32668486802.0226","34023063767.8647","37168927633.8578","40431322636.8591","42493377307.0626","47426198185.2374","",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5192367141.73112","5854833811.43012","6002195549.48274","6357151655.81814","6578285936.44934","7100150653.3534","8026534869.02473","8680713154.73274","9419919590.96393","10259110711.9939","10689665669.0506","11653376975.816","12350171718.4476","13576554041.9331","14565345348.6472","16323283254.9017","17879168698.5039","19117304116.1197","20614029336.4487","21360646876.8753","23443220212.813","25515102554.621","26835475975.0516","28735314121.1823","29760893893.8537","31032905189.7743","35340335154.5367","39238401912.359","42829250834.6409","46075097668.785","47530529151.7522","52924624145.5729","",
